Lp.,Numer EVN,Nr SAT,seria,Typ,Rok budowy,stacja postoju,masa konstrukcyjna (tony),Nr i nazwa części sprzedaży
1,315154987566,7000051193,Eaos,CFR/E,1986,Białystok,20.00,V - Rejon WARSZAWA
2,825153741665,7000085115,Eaos,430W,2005,Białystok,20.00,V - Rejon WARSZAWA
3,315153621158,7000059990,Eaos,412W,1988,Białystok,20.00,V - Rejon WARSZAWA
4,315154965570,7000049670,Eaos,412W,1986,Białystok,20.00,V - Rejon WARSZAWA
5,315139473369,7000016497,Res,424Z,1988,Białystok,24.00,V - Rejon WARSZAWA
6,315154977195,7000050462,Eaos,412W,1986,Białystok,20.00,V - Rejon WARSZAWA
7,315153776093,7000048155,Eanos,415W,1998,Białystok,24.00,V - Rejon WARSZAWA
8,315153686698,7000041080,Eaos,CFR/E,1985,Białystok,20.00,V - Rejon WARSZAWA
9,315153634227,7000039006,Eaos,412W,1989,Białystok,20.00,V - Rejon WARSZAWA
10,315153559184,7000056357,Eaos,412W,1984,Białystok,20.00,V - Rejon WARSZAWA
11,315154983474,7000042119,Eaos,412W,1986,Białystok,20.00,V - Rejon WARSZAWA
12,315153688371,7000064066,Eaos,CFR/E,1985,Białystok,20.00,V - Rejon WARSZAWA
13,825153740931,7000045003,Eaos,430W,2004,Białystok,20.00,V - Rejon WARSZAWA
14,315153532421,7000074479,Eaos,412W,1984,Białystok,20.00,V - Rejon WARSZAWA
15,315153629136,7000060744,Eaos,412W,1988,Białystok,20.00,V - Rejon WARSZAWA
16,315153616208,7000059614,Eaos,412W,1988,Białystok,20.00,V - Rejon WARSZAWA
17,415133495002,7000011732,Kbs,210Z,1991,Białystok,13.60,V - Rejon WARSZAWA
18,315153510427,7000041052,Eaos,412W,1983,Białystok,20.00,V - Rejon WARSZAWA
19,315153659752,7000063354,Eaos,412W,1985,Biesal,20.00,IV - Rejon TORUŃ
20,315154976403,7000050408,Eaos,412W,1986,Biesal,20.00,IV - Rejon TORUŃ
21,315153813698,7000058034,Eaos,412W,1987,Biesal,20.00,IV - Rejon TORUŃ
22,315153815586,7000038545,Eaos,412W,1987,Biesal,20.00,IV - Rejon TORUŃ
23,825153183298,7000067521,Eaos,408W,1979,Biesal,20.00,IV - Rejon TORUŃ
24,315153597135,7000058249,Eaos,412W,1987,Biesal,20.00,IV - Rejon TORUŃ
25,315153673233,7000063007,Eaos,412W,1985,Biesal,20.00,IV - Rejon TORUŃ
26,315153401940,7000071941,Eaos,412W,1987,Biesal,20.00,IV - Rejon TORUŃ
27,315153508272,7000073477,Eaos,412W,1983,Biesal,20.00,IV - Rejon TORUŃ
28,825153813886,7000058050,Eaos,412W,1987,Biesal,20.00,IV - Rejon TORUŃ
29,315153647799,7000041260,Eaos,412W,1985,Biesal,20.00,IV - Rejon TORUŃ
30,315153397031,7000070521,Eaos,408W,1981,Biesal,20.00,IV - Rejon TORUŃ
31,825153286257,7000068154,Eaos,408W,1980,Biesal,20.00,IV - Rejon TORUŃ
32,315153642535,7000035544,Eaos,412W,1985,Biesal,20.00,IV - Rejon TORUŃ
33,315153619285,7000059855,Eaos,412W,1988,Biesal,20.00,IV - Rejon TORUŃ
34,315153675170,7000063143,Eaos,412W,1986,Biesal,20.00,IV - Rejon TORUŃ
35,315153159423,7000067045,Eaos,408W,1979,Biesal,20.00,IV - Rejon TORUŃ
36,825153151006,7000066835,Eaos,409W,1978,Biesal,20.00,IV - Rejon TORUŃ
37,865153363896,7000069433,Eaos,408W,1980,Biesal,20.00,IV - Rejon TORUŃ
38,315153658713,7000062687,Eaos,412W,1985,Biesal,20.00,IV - Rejon TORUŃ
39,315153810660,7000075098,Eaos,412W,1984,Biesal,20.00,IV - Rejon TORUŃ
40,315154964342,7000037161,Eaos,412W,1984,Biesal,20.00,IV - Rejon TORUŃ
41,315153406642,7000072284,Eaos,412W,1987,Biesal,20.00,IV - Rejon TORUŃ
42,315153539103,7000074953,Eaos,412W,1984,Biesal,20.00,IV - Rejon TORUŃ
43,315153530763,7000074357,Eaos,412W,1984,Biesal,20.00,IV - Rejon TORUŃ
44,315154976270,7000050401,Eaos,412W,1986,Biesal,20.00,IV - Rejon TORUŃ
45,315153404860,7000072699,Eaos,412W,1987,Biesal,20.00,IV - Rejon TORUŃ
46,315153657343,7000042476,Eaos,412W,1985,Biesal,20.00,IV - Rejon TORUŃ
47,315153507225,9100048031,Eaos,412W,1983,Biesal,20.00,IV - Rejon TORUŃ
48,315153657624,9100048014,Eaos,412W,1985,Biesal,20.00,IV - Rejon TORUŃ
49,315154983946,9100048065,Eaos,412W,1986,Biesal,20.00,IV - Rejon TORUŃ
50,825153492418,9100048028,Eaos,408W,1981,Biesal,20.00,IV - Rejon TORUŃ
51,315153556610,7000056792,Eaos,CSD/E,1985,Busko Zdrój,20.00,I - Rejon LUBLIN
52,315154961827,7000049400,Eaos,412W,1986,Busko Zdrój,20.00,I - Rejon LUBLIN
53,315154956124,7000049104,Eaos,CSD/E,1986,Busko Zdrój,20.00,I - Rejon LUBLIN
54,315153558749,7000040618,Eaos,CSD/E,1985,Busko Zdrój,20.00,I - Rejon LUBLIN
55,315153536034,7000039599,Eaos,412W,1984,Busko Zdrój,20.00,I - Rejon LUBLIN
56,315154981700,7000050786,Eaos,412W,1986,Busko Zdrój,20.00,I - Rejon LUBLIN
57,315153517893,7000074155,Eaos,412W,1983,Busko Zdrój,20.00,I - Rejon LUBLIN
58,315154965802,7000039477,Eaos,412W,1986,Busko Zdrój,20.00,I - Rejon LUBLIN
59,825153492715,7000044730,Eaos,408W,1981,Busko Zdrój,20.00,I - Rejon LUBLIN
60,825153157235,7000036091,Eaos,408W,1979,Busko Zdrój,20.00,I - Rejon LUBLIN
61,315153658655,7000062683,Eaos,412W,1985,Busko Zdrój,20.00,I - Rejon LUBLIN
62,315154979274,7000050610,Eaos,412W,1986,Busko Zdrój,20.00,I - Rejon LUBLIN
63,315153714508,7000042621,Eaos,CFR/E,1988,Busko Zdrój,20.00,I - Rejon LUBLIN
64,315153464393,7000071580,Eaos,CFR/E,1987,Busko Zdrój,20.00,I - Rejon LUBLIN
65,315153605250,7000058826,Eaos,CFR/E,1988,Busko Zdrój,20.00,I - Rejon LUBLIN
66,315154991139,7000051436,Eaos,CFR/E,1986,Busko Zdrój,20.00,I - Rejon LUBLIN
67,315153637410,7000061166,Eaos,CSD/E,1988,Busko Zdrój,20.00,I - Rejon LUBLIN
68,315153579794,7000057044,Eaos,CSD/E,1987,Busko Zdrój,20.00,I - Rejon LUBLIN
69,315153690005,7000064178,Eaos,CFR/E,1986,Busko Zdrój,20.00,I - Rejon LUBLIN
70,315153682002,7000034962,Eaos,CFR/E,1985,Busko Zdrój,20.00,I - Rejon LUBLIN
71,315153646924,7000061834,Eaos,CFR/E,1985,Busko Zdrój,20.00,I - Rejon LUBLIN
72,315153409802,7000075623,Eaos,412W,1984,Busko Zdrój,20.00,I - Rejon LUBLIN
73,315154977955,7000050519,Eaos,412W,1986,Busko Zdrój,20.00,I - Rejon LUBLIN
74,315153543683,7000075284,Eaos,412W,1984,Busko Zdrój,20.00,I - Rejon LUBLIN
75,315153622446,7000060081,Eaos,412W,1988,Busko Zdrój,20.00,I - Rejon LUBLIN
76,825153299334,7000036907,Eaos,408W,1980,Busko Zdrój,20.00,I - Rejon LUBLIN
77,315153617008,7000037133,Eaos,412W,1988,Busko Zdrój,20.00,I - Rejon LUBLIN
78,315153505278,7000038676,Eaos,412W,1983,Busko Zdrój,20.00,I - Rejon LUBLIN
